Financial year,State/territory,School sector,Expenditure item,Total expenditure,Expenditure per student
2007/08,Australia,Government,State and territory governments,"$26,272,069,000 ","$11,546 "
2007/08,Australia,Government,Total Australian/State/territory government expenditure,"$28,757,821,000 ","$12,639 "
2007/08,Australia,All non-government,Australian Government,"$5,531,064,000 ","$4,767 "
2007/08,Australia,All non-government,State and territory governments,"$2,136,387,000 ","$1,841 "
2007/08,Australia,All non-government,Total Australian/State/territory government expenditure,"$7,667,451,000 ","$6,608 "
2007/08,Australia,All,Australian Government,"$8,016,816,000 ","$2,333 "
2007/08,Australia,All,State and territory governments,"$28,408,456,000 ","$8,269 "
2007/08,Australia,All,Total Australian/State/territory government expenditure,"$36,425,272,000 ","$10,602 "
2006/07,Australia,Government,Australian Government,"$2,373,104,000 ","$1,047 "
2006/07,Australia,Government,State and territory governments,"$24,550,552,000 ","$10,827 "
2006/07,Australia,Government,Total Australian/State/territory government expenditure,"$26,923,656,000 ","$11,874 "
2006/07,Australia,All non-government,Australian Government,"$5,299,931,000 ","$4,667 "
2006/07,Australia,All non-government,State and territory governments,"$2,014,922,000 ","$1,774 "
2006/07,Australia,All non-government,Total Australian/State/territory government expenditure,"$7,314,853,000 ","$6,441 "
2006/07,Australia,All,Australian Government,"$7,673,035,000 ","$2,255 "
2006/07,Australia,All,State and territory governments,"$26,565,474,000 ","$7,806 "
2006/07,Australia,All,Total Australian/State/territory government expenditure,"$34,238,509,000 ","$10,061 "
2005/06,Australia,Government,Australian Government,"$2,266,721,000 ","$1,004 "
2005/06,Australia,Government,State and territory governments,"$23,103,929,000 ","$10,239 "
2005/06,Australia,Government,Total Australian/State/territory government expenditure,"$25,370,650,000 ","$11,243 "
2005/06,Australia,All non-government,Australian Government,"$5,038,703,000 ","$4,529 "
2005/06,Australia,All non-government,State and territory governments,"$1,955,107,000 ","$1,757 "
2005/06,Australia,All non-government,Total Australian/State/territory government expenditure,"$6,993,810,000 ","$6,286 "
2005/06,Australia,All,Australian Government,"$7,305,424,000 ","$2,168 "
2005/06,Australia,All,State and territory governments,"$25,059,036,000 ","$7,438 "
2005/06,Australia,All,Total Australian/State/territory government expenditure,"$32,364,460,000 ","$9,606 "
